accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
KF156477	KF156477.1	KF156477	2009-12-05	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156363	KF156363.1	KF156363	2009-12-08	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156364	KF156364.1	KF156364	2009-12-08	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156478	KF156478.1	KF156478	2009-12-08	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156479	KF156479.1	KF156479	2009-12-08	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156480	KF156480.1	KF156480	2009-12-08	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KT765253	KT765253.1	KEN/Kilifi/780_08/12/2009	2009-12-08	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KF156365	KF156365.1	KF156365	2009-12-09	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KY773699	KY773699.1	KY773699	2009-12-10	Asia	South Korea			Homo sapiens	2017-10-26		Park et al		Park,E., Park,P.H., Huh,J.W., Yun,H.J., Lee,H.K., Yoon,M.H., Lee,S., Ko,G., Park,P., Huh,J., Yun,H., Lee,H., Yoon,M.	
OK458625	OK458625.1	OK458625	2009-12-10	Africa	Kenya			Homo sapiens	2021-12-13		Wangui et al		Wangui,J.M., Nokes,J.D., Opot,B.H., Opanda,S.M., Agoti,C.N., Otieno,J.R., Bulimo,W.D.	
OK458642	OK458642.1	OK458642	2009-12-14	Africa	Kenya			Homo sapiens	2021-12-13		Wangui et al		Wangui,J.M., Nokes,J.D., Opot,B.H., Opanda,S.M., Agoti,C.N., Otieno,J.R., Bulimo,W.D.	
OK458645	OK458645.1	OK458645	2009-12-14	Africa	Kenya			Homo sapiens	2021-12-13		Wangui et al		Wangui,J.M., Nokes,J.D., Opot,B.H., Opanda,S.M., Agoti,C.N., Otieno,J.R., Bulimo,W.D.	
OK458659	OK458659.1	OK458659	2009-12-14	Africa	Kenya			Homo sapiens	2021-12-13		Wangui et al		Wangui,J.M., Nokes,J.D., Opot,B.H., Opanda,S.M., Agoti,C.N., Otieno,J.R., Bulimo,W.D.	
KF156366	KF156366.1	KF156366	2009-12-15	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156367	KF156367.1	KF156367	2009-12-15	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156368	KF156368.1	KF156368	2009-12-16	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156481	KF156481.1	KF156481	2009-12-16	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156482	KF156482.1	KF156482	2009-12-16	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156483	KF156483.1	KF156483	2009-12-18	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156484	KF156484.1	KF156484	2009-12-18	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
