accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
OK649668	OK649668.1	OK649668	1956-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
MG642073	MG642073.1	MG642073	1979-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642028	MG642028.1	MG642028	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642032	MG642032.1	MG642032	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642040	MG642040.1	MG642040	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642058	MG642058.1	MG642058	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642060	MG642060.1	MG642060	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642074	MG642074.1	MG642074	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642024	MG642024.1	MG642024	1981-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642026	MG642026.1	MG642026	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642031	MG642031.1	MG642031	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642056	MG642056.1	MG642056	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642063	MG642063.1	MG642063	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642079	MG642079.1	MG642079	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642081	MG642081.1	MG642081	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642035	MG642035.1	MG642035	1984-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642071	MG642071.1	MG642071	1984-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642034	MG642034.1	MG642034	1985-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642038	MG642038.1	MG642038	1985-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642041	MG642041.1	MG642041	1985-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642069	MG642069.1	MG642069	1985-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642070	MG642070.1	MG642070	1986-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642075	MG642075.1	MG642075	1986-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642067	MG642067.1	MG642067	1987-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642077	MG642077.1	MG642077	1987-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642083	MG642083.1	MG642083	1987-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642030	MG642030.1	MG642030	1988-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642048	MG642048.1	MG642048	1990-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642055	MG642055.1	MG642055	1990-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MF361904	MF361904.1	MON/9/92	1992-XX-XX	South America	Uruguay			Homo sapiens	2017-11-20		Rossey et al		Rossey,I., Gilman,M.S., Kabeche,S.C., Sedeyn,K., Wrapp,D., Kanekiyo,M., Chen,M., Mas,V., Spitaels,J., Melero,J.A., Graham,B.S., Schepens,B., McLellan,J.S., Saelens,X., Van Cauwenberghe,S.	
OK649676	OK649676.1	OK649676	1993-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
AF086899	AF086899.1	177771	1993-11-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086868	AF086868.1	179381	1993-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086869	AF086869.1	179522	1993-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
MG642033	MG642033.1	MG642033	1994-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642050	MG642050.1	MG642050	1994-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642052	MG642052.1	MG642052	1994-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642061	MG642061.1	MG642061	1994-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
MG642080	MG642080.1	MG642080	1994-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
OK649589	OK649589.1	OK649589	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649590	OK649590.1	OK649590	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649591	OK649591.1	OK649591	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649592	OK649592.1	OK649592	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649669	OK649669.1	OK649669	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649675	OK649675.1	OK649675	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
AF086870	AF086870.1	180081	1994-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086871	AF086871.1	180893	1994-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086872	AF086872.1	181691	1994-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086873	AF086873.1	182473	1994-02-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086874	AF086874.1	182701	1994-02-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086882	AF086882.1	194581	1994-11-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086880	AF086880.1	193651	1994-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086881	AF086881.1	194522	1994-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
OK649593	OK649593.1	OK649593	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649594	OK649594.1	OK649594	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649657	OK649657.1	OK649657	1995-XX-XX	North America	Canada			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649658	OK649658.1	OK649658	1995-XX-XX	North America	Canada			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649659	OK649659.1	OK649659	1995-XX-XX	North America	Canada			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649670	OK649670.1	OK649670	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649671	OK649671.1	OK649671	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649672	OK649672.1	OK649672	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649673	OK649673.1	OK649673	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
OK649674	OK649674.1	OK649674	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
AF086883	AF086883.1	195462	1995-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086884	AF086884.1	195563	1995-02-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086885	AF086885.1	195901	1995-02-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086886	AF086886.1	196775	1995-03-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086888	AF086888.1	203721	1995-10-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086891	AF086891.1	205342	1995-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086895	AF086895.1	206344	1996-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086896	AF086896.1	206846	1996-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086897	AF086897.1	207347	1996-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
AF086898	AF086898.1	207385	1996-02-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.	
MF173101	MF173101.1	Caldas/2000/2425	2000-XX-XX	South America	Colombia			Homo sapiens	2017-10-25		Avila et al		Avila,V., Calvo,E.P., Barbosa,J., Velandia-Romero,M.L., Castellanos,J.E.	
MF173102	MF173102.1	Caldas/2000/2569	2000-XX-XX	South America	Colombia			Homo sapiens	2017-10-25		Avila et al		Avila,V., Calvo,E.P., Barbosa,J., Velandia-Romero,M.L., Castellanos,J.E.	
MF496471	MF496471.1	R89-52	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
MF496472	MF496472.1	R89-49	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
KT765780	KT765780.1	KEN/Kilifi/500_18/01/2000	2000-01-18	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KT765661	KT765661.1	KEN/Kilifi/501_18/02/2000	2000-02-18	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KT765662	KT765662.1	KEN/Kilifi/502_29/02/2000	2000-02-29	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KT765663	KT765663.1	KEN/Kilifi/503_13/03/2000	2000-03-13	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KT765664	KT765664.1	KEN/Kilifi/504_21/07/2000	2000-07-21	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
JN968312	JN968312.1	V00-2221902	2000-08-22	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.	
JN968333	JN968333.1	V00-2225288	2000-10-03	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.	
KJ627647	KJ627647.1	RSV-A/US/BID-V8313/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627648	KJ627648.1	RSV-A/US/BID-V8314/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627649	KJ627649.1	RSV-A/US/BID-V8316/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627650	KJ627650.1	RSV-A/US/BID-V8317/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627672	KJ627672.1	RSV-A/US/BID-V8411/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627673	KJ627673.1	RSV-A/US/BID-V8413/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627674	KJ627674.1	RSV-A/US/BID-V8414/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
KJ627675	KJ627675.1	RSV-A/US/BID-V8415/2001	2001-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
